Tranc_YearMonth,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,floor_area_sqft,price_per_sqft
2016-03,WOODLANDS,4 ROOM,8,MARSILING DR,04 TO 06,88.0,Improved,1976,280000.0,947.2231999999999,295.60086788414816
2016-04,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,04 TO 06,82.0,New Generation,1976,340000.0,882.6397999999999,385.20809961209545
2016-04,BEDOK,3 ROOM,4,BEDOK STH AVE 1,07 TO 09,65.0,Improved,1976,298000.0,699.6535,425.92511864801645
2016-04,BEDOK,3 ROOM,1,BEDOK STH AVE 1,13 TO 15,59.0,Improved,1976,305000.0,635.0701,480.2619427367152
2016-04,BEDOK,3 ROOM,18,BEDOK STH RD,10 TO 12,65.0,Improved,1976,308000.0,699.6535,440.2179078643929
2016-04,BEDOK,4 ROOM,15,BEDOK STH RD,04 TO 06,88.0,Improved,1976,365000.0,947.2231999999999,385.33684563469313
2016-04,BUKIT MERAH,3 ROOM,28,TELOK BLANGAH RISE,10 TO 12,59.0,Improved,1976,312000.0,635.0701,491.2843479798529
2016-04,BUKIT MERAH,3 ROOM,60,TELOK BLANGAH HTS,04 TO 06,67.0,New Generation,1976,315000.0,721.1813,436.78337194821887
2016-04,BUKIT MERAH,3 ROOM,60,TELOK BLANGAH HTS,10 TO 12,67.0,New Generation,1976,348000.0,721.1813,482.5416299618418
2016-04,BUKIT MERAH,3 ROOM,28,TELOK BLANGAH RISE,10 TO 12,70.0,Improved,1976,355000.0,753.473,471.1515873826932
2016-04,BUKIT MERAH,3 ROOM,63,TELOK BLANGAH HTS,04 TO 06,73.0,New Generation,1976,361000.0,785.7647,459.42506707160555
2016-04,BUKIT MERAH,3 ROOM,131,JLN BT MERAH,07 TO 09,65.0,Improved,1976,385000.0,699.6535,550.2723848304911
2016-04,BUKIT MERAH,4 ROOM,56,TELOK BLANGAH HTS,07 TO 09,92.0,New Generation,1976,520000.0,990.2787999999999,525.1046472973067
2016-04,GEYLANG,3 ROOM,9,HAIG RD,07 TO 09,70.0,Improved,1976,395000.0,753.473,524.239090186377
2016-04,GEYLANG,5 ROOM,6,HAIG RD,13 TO 15,118.0,Improved,1976,737000.0,1270.1402,580.2509045851789
